trial,date,treatment,location,duration
mannikin01,23/08/2018,mannikin,location1,13.923
mannikin01,23/08/2018,mannikin,location1,61.186
mannikin01,23/08/2018,mannikin,location1,0.365
mannikin01,23/08/2018,mannikin,location1,0.365
mannikin01,23/08/2018,mannikin,location1,29.322
mannikin01,23/08/2018,mannikin,location1,89.031
mannikin01,23/08/2018,mannikin,location1,2.89
mannikin01,23/08/2018,mannikin,location1,25.968
mannikin01,23/08/2018,mannikin,location1,0.357
mannikin01,23/08/2018,mannikin,location1,45.164
mannikin01,23/08/2018,mannikin,location1,0.357
mannikin01,23/08/2018,mannikin,location1,65.358
mannikin01,23/08/2018,mannikin,location1,9.242
mannikin01,23/08/2018,mannikin,location1,35.874
mannikin01,23/08/2018,mannikin,location1,17.187
mannikin01,23/08/2018,mannikin,location1,3.317
mannikin01,23/08/2018,mannikin,location1,8.897
mannikin01,23/08/2018,mannikin,location1,0.479
mannikin01,23/08/2018,mannikin,location1,26.498
mannikin01,23/08/2018,mannikin,location1,16.087
mannikin01,23/08/2018,mannikin,location1,5.58
mannikin01,23/08/2018,mannikin,location1,3.76
mannikin01,23/08/2018,mannikin,location1,2.059
mannikin01,23/08/2018,mannikin,location1,5.292
mannikin01,23/08/2018,mannikin,location1,3.616
mannikin01,23/08/2018,mannikin,location1,14.281
mannikin01,23/08/2018,mannikin,location1,0.297
mannikin01,23/08/2018,mannikin,location1,0.399
mannikin01,23/08/2018,mannikin,location1,0.314
mannikin01,23/08/2018,mannikin,location1,3.089
mannikin01,23/08/2018,mannikin,location1,11.32
mannikin01,23/08/2018,mannikin,location1,4.413
mannikin01,23/08/2018,mannikin,location1,141.649
mannikin01,23/08/2018,mannikin,location1,31.26
mannikin01,23/08/2018,mannikin,location1,1.706
mannikin01,23/08/2018,mannikin,location1,13.287
mannikin01,23/08/2018,mannikin,location1,0.314
mannikin01,23/08/2018,mannikin,location1,56.942
mannikin01,23/08/2018,mannikin,location1,0.289
mannikin01,23/08/2018,mannikin,location1,3.055
mannikin01,23/08/2018,mannikin,location1,5.355
mannikin01,23/08/2018,mannikin,location1,0.382
mannikin01,23/08/2018,mannikin,location1,7.776
mannikin01,23/08/2018,mannikin,location1,0.305
mannikin01,23/08/2018,mannikin,location1,4.454
mannikin01,23/08/2018,mannikin,location1,0.538
mannikin01,23/08/2018,mannikin,location1,0.329
mannikin01,23/08/2018,mannikin,location1,2.9
mannikin01,23/08/2018,mannikin,location1,25.951
mannikin01,23/08/2018,mannikin,location1,5.799
mannikin01,23/08/2018,mannikin,location1,0.314
mannikin01,23/08/2018,mannikin,location1,9.969
mannikin01,23/08/2018,mannikin,location1,1.913
mannikin01,23/08/2018,mannikin,location1,110.302
mannikin01,23/08/2018,mannikin,location1,0.404
mannikin01,23/08/2018,mannikin,location1,1.45
mannikin01,23/08/2018,mannikin,location1,0.389
mannikin01,23/08/2018,mannikin,location1,0.299
mannikin01,23/08/2018,mannikin,location1,71.772
mannikin01,23/08/2018,mannikin,location1,28.739
mannikin01,23/08/2018,mannikin,location1,0.463
mannikin01,23/08/2018,mannikin,location1,0.269
mannikin01,23/08/2018,mannikin,location1,0.493
mannikin01,23/08/2018,mannikin,location1,0.299
mannikin01,23/08/2018,mannikin,location1,5.037
mannikin01,23/08/2018,control,location2,21.216
mannikin01,23/08/2018,control,location2,5.445
mannikin01,23/08/2018,control,location2,15.513
mannikin01,23/08/2018,control,location2,3.544
mannikin01,23/08/2018,control,location2,5.217
mannikin01,23/08/2018,control,location2,14.433
mannikin01,23/08/2018,control,location2,3.529
mannikin01,23/08/2018,control,location2,9.867
mannikin01,23/08/2018,control,location2,2.76
mannikin01,23/08/2018,control,location2,33.768
mannikin01,23/08/2018,control,location2,1.563
mannikin01,23/08/2018,control,location2,10.351
mannikin01,23/08/2018,control,location2,16.866
mannikin01,23/08/2018,control,location2,0.528
mannikin01,23/08/2018,control,location2,81.355
mannikin01,23/08/2018,control,location2,58.403
mannikin01,23/08/2018,control,location2,68.914
mannikin01,23/08/2018,control,location2,0.296
mannikin01,23/08/2018,control,location2,21.486
mannikin01,23/08/2018,control,location2,25.814
mannikin01,23/08/2018,control,location2,0.465
mannikin01,23/08/2018,control,location2,7.668
mannikin01,23/08/2018,control,location2,3.338
mannikin01,23/08/2018,control,location2,0.465
mannikin01,23/08/2018,control,location2,9.591
mannikin01,23/08/2018,control,location2,2.049
mannikin01,23/08/2018,control,location2,8.302
mannikin01,23/08/2018,control,location2,29.41
mannikin01,23/08/2018,control,location2,0.486
mannikin01,23/08/2018,control,location2,0.634
mannikin01,23/08/2018,control,location2,20.38
mannikin01,23/08/2018,control,location2,0.307
mannikin01,23/08/2018,control,location2,2.684
mannikin01,23/08/2018,control,location2,0.444
mannikin01,23/08/2018,control,location2,38.383
mannikin01,23/08/2018,control,location2,9.654
mannikin01,23/08/2018,control,location2,0.401
mannikin01,23/08/2018,control,location2,0.993
mannikin01,23/08/2018,control,location2,0.613
mannikin01,23/08/2018,control,location2,9.189
mannikin01,23/08/2018,control,location2,0.296
mannikin01,23/08/2018,control,location2,7.979
mannikin01,23/08/2018,control,location2,12.019
mannikin01,23/08/2018,control,location2,6.591
mannikin01,23/08/2018,control,location3,1.745
mannikin01,23/08/2018,control,location3,6.594
mannikin01,23/08/2018,control,location3,3.407
mannikin01,23/08/2018,mannikin,location4,0.439
mannikin01,23/08/2018,mannikin,location4,0.408
mannikin01,23/08/2018,mannikin,location4,9.366
mannikin01,23/08/2018,mannikin,location4,0.33
mannikin01,23/08/2018,mannikin,location4,0.476
mannikin02,28/08/2018,mannikin,location1,2.174
mannikin02,28/08/2018,mannikin,location1,65.692
mannikin02,28/08/2018,mannikin,location1,63.282
mannikin02,28/08/2018,mannikin,location1,3.395
mannikin02,28/08/2018,mannikin,location1,13.494
mannikin02,28/08/2018,mannikin,location1,15.975
