ResponseId,Y_vaccgot2,X_condR,M1_valancR1,M2_motYOU1R,W_pol_ideo,RP_sevR1,RP_likR1,hadcovi1,flushot1,race1R,genderR1,age,educ,income,kidsR,RP_sev1,RP_lik1,gender,kids,covrisk_get_wv1,covrisk_ill_wv1,covrisk_die_wv1,covid_worry_1_wv1,covid_worry_2_wv1,covid_worry_3_wv1,covid_worry_4_wv1
R_00X2lNmqbn41pkt,1,2,6,5,6,17,4,0,2,0,1,33,6,7,1,20,6,2,1,3,2,1,5,5,5,5
R_01XIjBUlNz0oUc9,1,2,4,2,5,10,10,0,3,0,0,71,5,6,0,13,12,1,0,4,4,4,4,4,2,3
R_01ZH0MZvqskbcAx,1,3,4,1,4,9,7,1,0,1,1,64,4,10,0,12,9,2,0,4,3,2,3,3,3,3
R_03s5zrTX47xbwzv,1,1,4,4,4,16,14,0,1,0,1,69,2,3,0,19,16,2,0,4,6,6,5,5,5,4
R_063bO6HBtbzT9ip,Null,1,3,4,4,6,3,0,2,0,0,21,2,2,0,9,5,1,0,1,1,3,2,1,1,5
R_06PiRoyJjmBIEyB,0,2,4,4,6,5,3,0,0,0,1,69,3,1,0,8,5,2,0,2,2,1,1,3,1,3
R_09dDsgGES93MEEh,Null,1,4,4,4,8,7,0,3,1,1,76,2,7,0,11,9,2,0,3,3,3,3,3,2,3
R_0BXHIQm2KqdFVrX,Null,2,6,4,4,10,7,0,1,0,1,25,4,2,0,13,9,2,0,3,3,3,4,5,2,2
R_0CaXvCRAuFM1IGZ,0,4,3,1,4,11,8,0,1,0,1,22,2,1,3,14,10,2,3,2,4,4,4,5,2,3
R_0ctHmGta6reopEt,Null,1,5,5,3,12,18,1,1,0,1,61,2,3,0,15,20,2,0,7,6,7,5,4,4,2
R_0dHPXB0gCfnxQDD,1,1,5,2,4,14,11,0,2,0,0,51,5,4,0,17,13,1,0,3,5,5,5,5,4,3
R_0DubJaoi3pWZADn,Null,1,3,3,3,5,7,Null,0,0,0,48,6,10,2,8,9,1,2,4,3,2,2,2,2,2
R_0eRh0mdTFv6kZwt,Null,2,6,Null,3,8,8,0,2,1,0,77,5,8,0,11,10,1,0,3,4,3,4,4,2,1
R_0Gtl71JipaP7THP,0,4,4,2,4,11,6,0,2,0,1,27,5,9,0,14,8,2,0,3,3,2,4,4,3,3
R_0ibNBAyyPQboS5P,Null,3,6,5,5,14,7,0,0,0,0,33,5,9,2,17,9,1,2,4,3,2,4,5,4,4
R_0IBodrnxdxwWbPr,1,3,7,Null,5,13,9,0,2,0,1,50,6,9,0,16,11,2,0,2,5,4,4,4,4,4
R_0j23tjcxIONkGNX,1,Null,Null,3,5,5,6,0,3,1,0,68,3,9,0,8,8,1,0,2,4,2,2,2,2,2
R_0JtD9dinoAOVYK5,0,4,7,4,6,13,8,0,3,0,1,52,5,1,0,16,10,2,0,3,4,3,4,5,4,3
R_0kaAKmK9xLp3JPb,0,4,3,1,5,16,10,0,0,0,0,48,2,1,0,19,12,1,0,4,4,4,5,5,4,5
R_0lFVmrUGwSPx4sN,0,4,6,4,6,12,6,0,2,0,1,38,6,10,0,15,8,2,0,3,3,2,4,4,4,3
R_0Mt7QF8AFgY7PR7,Null,2,7,7,4,9,3,Null,1,0,0,48,6,10,3,12,5,1,3,2,2,1,2,4,3,3
R_0N73fSHXKJrUmQN,0,4,7,5,4,17,7,0,2,0,1,53,4,3,0,20,9,2,0,2,4,3,5,5,5,5
R_0NbpNsUUf2847qF,1,4,5,4,5,14,3,0,2,0,1,36,6,9,1,17,5,2,1,2,2,1,4,5,4,4
R_0NjRiDXUdGlpanL,0,3,4,1,4,4,8,0,0,0,0,22,2,4,1,7,10,1,1,3,4,3,2,3,1,1
R_0Pc5uEPfqXBNNlL,1,3,4,Null,4,11,4,0,3,0,0,49,5,7,0,14,6,1,0,2,2,2,4,4,3,3
R_0qhH47Vwvbx1FTj,0,3,5,4,4,15,8,0,1,0,1,27,3,6,0,18,10,2,0,3,4,3,5,5,4,4
R_0rlDj8FfUKr2lnH,Null,3,1,1,3,1,1,Null,0,0,1,25,2,1,1,4,3,2,1,1,1,1,1,1,1,1
R_0SoxjoeI0z9J5Dz,Null,1,3,1,6,17,5,0,0,0,1,33,2,2,1,20,7,2,1,3,3,1,5,5,5,5
R_0SSntolHgH4CILL,1,2,4,4,4,13,13,0,0,0,1,48,3,1,0,16,15,2,0,2,7,6,4,4,4,4
R_0ufARGEznujhdxn,0,1,1,2,1,1,1,1,0,0,0,34,3,3,0,4,3,1,0,1,1,1,1,1,1,1
R_0UGxvtoBXMFvlSN,1,4,5,2,2,7,7,0,3,1,0,67,5,8,0,10,9,1,0,3,3,3,2,4,2,2
R_0VBMxOEs7ZPufEB,Null,3,6,5,2,1,3,0,0,0,0,21,1,2,2,4,5,1,2,1,1,3,1,1,1,1
R_0VcJkJiphCZicoN,0,1,5,Null,3,13,11,0,1,0,1,40,3,7,1,16,13,2,1,4,5,4,4,4,4,4
R_0w8TXWCkEl9Ihnb,Null,2,6,6,6,9,7,0,3,0,1,80,2,3,0,12,9,2,0,3,4,2,3,3,3,3
R_10Ak7ZjdG2dUZtH,Null,1,4,Null,1,14,8,0,3,0,1,61,5,4,0,17,10,2,0,1,5,4,5,5,3,4
R_10B1OwwgY0gpL8G,Null,2,5,4,6,13,1,0,1,0,1,62,3,7,0,16,3,2,0,1,1,1,4,4,4,4
R_10Gjww3MOAOTANn,0,1,3,1,4,12,1,0,0,0,1,21,2,10,1,15,3,2,1,1,1,1,5,3,3,4
R_10GZAyOAPtxtY5I,1,4,6,Null,1,10,9,0,3,0,1,57,5,4,0,13,11,2,0,1,5,5,3,4,3,3
R_10IYRLlpmNeGB41,Null,1,7,6,6,15,2,0,1,0,1,19,3,2,0,18,4,2,0,1,2,1,3,5,5,5
