species;order;CMR;n_dead_ind;known_deaths;n_neoplasia;n_no_neoplasia;body_mass_kg;metabolic_rate;life_expectancy_d;gestation_length_d;litter_size_n;total_litters;litters;breeding_system;paternal_care;group_living;animal
Acinonyx_jubatus;Carnivora;0,0356;1560;225;8;217;42,55;61,77;3533,86;90,12;3,04;40,1318354;Polytocous;SingularBreeder;No;no;1
Addax_nasomaculatus;Artiodactyla;0,0357;762;84;3;81;110,63;NA;3127,89;276;1;25,60412329;Monotocous;PluralBreeder;No;yes;0
Aepyceros_melampus;Artiodactyla;0,0573;1007;157;9;148;48,15;NA;2465,89;196,74;1;24,29182192;Monotocous;PluralBreeder;No;yes;0
Ailurus_fulgens;Carnivora;0,0707;1068;99;7;92;5,98;4,898;3580,26;123,437;2;34,86628493;Polytocous;SingularBreeder;No;no;0
Alces_alces;Artiodactyla;0;246;33;0;33;344,91;286,847;2103,78;241,975;1,28;35,85859624;Monotocous;PluralBreeder;No;no;0
Alouatta_caraya;Primates;0,2;278;25;5;20;8,87;NA;5868,08;187;1;29,07068767;Monotocous;PluralBreeder;No;yes;0
Ammotragus_lervia;Artiodactyla;0,0403;1298;124;5;119;67,44;NA;3157,15;151,807;1,22;50,31349523;Monotocous;PluralBreeder;No;NA;0
Antidorcas_marsupialis;Artiodactyla;0,06;654;166;1;165;29,85;NA;1728,06;169,49;1;20,38703014;Monotocous;PluralBreeder;No;yes;0
Antilocapra_americana;Artiodactyla;0,0313;176;32;1;31;43,41;50,973;2057,88;247,445;1,89;26,49448603;Polytocous;PluralBreeder;No;yes;0
Antilope_cervicapra;Artiodactyla;0;1886;196;0;196;31,04;NA;2307,02;167,699;1;42,60248712;Monotocous;PluralBreeder;No;yes;0
Aonyx_cinerea;Carnivora;0,061;1267;164;10;154;3,3;NA;3242,65;63,001;1,47;64,98636411;Monotocous;NA;NA;NA;1
Arctictis_binturong;Carnivora;0,1481;291;27;4;23;17,21;12,747;5238,72;92;2,5;123,3287671;Polytocous;NA;NA;NA;1
Ateles_fusciceps;Primates;0,0952;289;21;2;19;9,19;NA;8212,16;227;1;21,51734247;Monotocous;PluralBreeder;No;yes;0
Ateles_geoffroyi;Primates;0,1429;273;28;4;24;7,91;NA;8757,3;229,185;1;13,63744877;Monotocous;PluralBreeder;No;yes;0
Axis_axis;Artiodactyla;0,0811;819;74;6;68;59,14;NA;3332,79;226,745;1,03;19,7718563;Monotocous;PluralBreeder;No;no;0
Axis_porcinus;Artiodactyla;0,0345;361;29;1;28;36,35;NA;3381,52;226,748;1;23,7431634;Monotocous;SingularBreeder;No;no;0
Bettongia_penicillata;Diprotodontia;0;280;21;0;21;1,06;3,132;2808,61;19,175;1;54,84489041;Monotocous;NA;NA;NA;0
Bison_bison;Artiodactyla;0,0548;985;73;4;69;632,05;NA;4678,87;274;1;31,00136986;Monotocous;PluralBreeder;No;yes;0
Bison_bonasus;Artiodactyla;0,0408;497;49;2;47;489,7;NA;4130,22;274;1;31,00136986;Monotocous;PluralBreeder;No;yes;0
Boselaphus_tragocamelus;Artiodactyla;0,05;444;40;2;38;203,68;NA;3532,2;255;1,5;30,66071918;Monotocous;PluralBreeder;No;no;0
Budorcas_taxicolor;Artiodactyla;0,0357;399;28;1;27;288,53;NA;4042,38;235,6;1,17;22,69614082;Monotocous;PluralBreeder;No;yes;0
Callimico_goeldii;Primates;0,0674;760;89;6;83;0,56;NA;3343,54;153,495;1;25,35971507;Monotocous;PluralBreeder;Yes;yes;1
Callithrix_geoffroyi;Primates;0,0196;725;102;2;100;0,46;NA;2387,15;144;2,24;96,25197764;Polytocous;NA;Yes;no;1
Callithrix_jacchus;Primates;0,0246;1001;122;3;119;0,38;848;2542,33;144;2,24;96,25197764;Polytocous;SingularBreeder;Yes;NA;1
Callosciurus_prevostii;Rodentia;0,0667;258;45;3;42;0,48;NA;2386,65;47,785;1,765;60,05057131;Polytocous;NA;NA;NA;0
Canis_rufus;Carnivora;0,2581;194;31;8;23;25,44;NA;3223,19;67,807;4,245;91,9345496;Polytocous;NA;Yes;no;1
Capra_caucasica;Artiodactyla;0;384;58;0;58;65,53;NA;2178,04;164,253;1,1;19,44468611;Monotocous;NA;NA;NA;0
Capra_falconeri;Artiodactyla;0,0137;581;73;1;72;47,79;NA;2226,85;163,068;2;33,77478033;Polytocous;PluralBreeder;No;yes;0
