species;common_name;order;family;genus;total_necropsies;any_neoplasia;any_no_neoplasia;any_malignant;prop_neoplasia;prop_malignant;adult_mass_kg;metabolic_rate;max_lifespan_yr;gestation_length_d;litter_size_n;litters;total_litters;breeding_system;paternal_care;group_living
Acinonyx_jubatus;Cheetah;Carnivora;Felidae;Acinonyx;42;9;33;4;0,214285714;0,095238095;50,57792;61,77;20,5;90,12;3,04;Polytocous;40,1318354;SingularBreeder;No;no
Alces_alces;Moose;Artiodactyla;Cervidae;Alces;13;0;13;0;0;0;359,75;286,847;22;241,975;1,28;Monotocous;35,85859624;PluralBreeder;No;no
Antilocapra_americana;Pronghorn;Artiodactyla;Antilocapridae;Antilocapra;20;1;19;1;0,05;0,05;45,375;50,973;15,5;247,445;1,89;Polytocous;26,49448603;PluralBreeder;No;yes
Callithrix_jacchus;Marmoset;Primates;Cebidae;Callithrix;40;5;35;5;0,125;0,125;0,2552;0,848;16,5;144;2,24;Polytocous;96,25197764;SingularBreeder;Yes;NA
Callithrix_pygmaea;Pygmy marmoset;Primates;Cebidae;Callithrix;28;1;27;1;0,035714286;0,035714286;NA;NA;18,6;NA;NA;NA;NA;SingularBreeder;Yes;no
Canis_mesomelas;Black-backed jackal;Carnivora;Canidae;Canis;5;1;4;1;0,2;0,2;8,2473;21,533;16,7;62,5;3,95;Polytocous;62,6210274;SingularBreeder;Yes;NA
Cercopithecus_mitis;Guenon;Primates;Cercopithecidae;Cercopithecus;41;4;37;4;0,097560976;0,097560976;6,1165;19,276;37,8;136,962;1;Monotocous;16,37256164;PluralBreeder;No;yes
Connochaetes_gnou;White-tailed gnu;Artiodactyla;Bovidae;Connochaetes;16;0;16;0;0;0;132,25;NA;24,3;258,723;1;Monotocous;19,19713973;PluralBreeder;No;yes
Cynomys_ludovicianus;Prairie dog;Rodentia;Sciuridae;Cynomys;31;14;17;14;0,451612903;0,451612903;1,125;2,358;11;35,415;4,43;Polytocous;70,04690512;PluralBreeder;No;yes
Dasypus_novemcinctus;Armadillo;Cingulata;Dasypodidae;Dasypus;67;2;65;0;0,029850746;0;3,94901;4,655;22,3;133;4;Polytocous;85,11025753;SingularBreeder;No;no
Dendrolagus_matschiei;Matschie's tree kangaroo;Diprotodontia;Macropodidae;Dendrolagus;11;0;11;0;0;0;7,08;7,96;26,9;32,975;1,005;Monotocous;25,30139154;NA;NA;NA
Didelphis_virginiana;Virginia opossum;Didelphimorphia;Didelphidae;Didelphis;28;17;11;15;0,607142857;0,535714286;1,4145;5,299;6,6;12,345;6,645;Polytocous;86,33038356;SingularBreeder;No;no
Equus_asinus;Burro and Sardinian ass;Perissodactyla;Equidae;Equus;9;1;8;0;0,111111111;0;NA;164,92;47;NA;NA;NA;NA;PluralBreeder;No;no
Hydrochaeris_hydrochaeris;Capybara;Rodentia;Caviidae;Hydrochoerus;13;0;13;0;0;0;51,572455;NA;15,1;150,73;3,485;Polytocous;60,31565884;NA;No;yes
Lama_glama;Llama;Artiodactyla;Camelidae;Lama;6;0;6;0;0;0;NA;148,94;28,9;NA;NA;NA;NA;PluralBreeder;No;yes
Lycaon_pictus;Cape hunting dog;Carnivora;Canidae;Lycaon;6;3;3;1;0,5;0,166666667;24,249995;33,01;17;72;7,495;Polytocous;112,9639213;SingularBreeder;Yes;NA
Macropus_eugenii;Dama wallaby;Diprotodontia;Macropodidae;Macropus;11;0;11;0;0;0;5,03724;7,78;15,1;28,945;1,005;Monotocous;14,22854219;NA;NA;NA
Macropus_parma;Parma wallaby;Diprotodontia;Macropodidae;Macropus;59;4;55;2;0,06779661;0,033898305;4,20331;NA;15,9;34,33;0,95;Monotocous;17,90376116;NA;NA;NA
Macropus_robustus;Common wallaroo;Diprotodontia;Macropodidae;Macropus;30;0;30;0;0;0;29,6479;33,056;22;33,295;1;Monotocous;29,17657123;NA;NA;NA
Macropus_rufus;Red kangaroo;Diprotodontia;Macropodidae;Macropus;9;0;9;0;0;0;35,729195;31,353;25;33;1;Monotocous;38,87364384;NA;NA;NA
Panthera_leo;Lion;Carnivora;Felidae;Panthera;18;1;17;1;0,055555556;0,055555556;149,061965;94,58;27;109;2,825;Polytocous;76,275;PluralBreeder;No;yes
Panthera_tigris;Tiger;Carnivora;Felidae;Panthera;11;2;9;1;0,181818182;0,090909091;128,8;133,859;26,3;105,19;2,57;Polytocous;23,46515616;SingularBreeder;No;no
