bird,subspecies,trial,temp,time,bill.mean,frame,eye.reg.max,eye.reg.fc,eye.mean,pant,diet,season,bill.d,bill.l,bill.w,mass
187,atlantica,1,37,-1,40.9,22,41.4,685,35.7,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,0,37.9,3,41,438,34.3,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,1,37.5,85,41.5,412,33.7,1,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,2,38.6,2,41.7,1222,34.3,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,3,40,35,41.6,380,34.1,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,4,40.9,26,41.9,489,33.7,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,5,40.6,37,41.3,489,33.3,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,6,40.7,13,41.5,516,33.9,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,7,41.2,26,41.5,478,33.9,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,8,41,23,41.6,459,34.1,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,9,41,48,41.3,665,34.2,0,u,s,6.9,9.04,6.06,20
187,atlantica,1,37,10,40.5,1,41.5,470,34.3,1,u,s,6.9,9.04,6.06,20
192,atlantica,2,37,-1,40.1,97,40.8,516,35.6,0,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,0,37.9,1,41,1108,34.3,0,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,1,40,1,41.1,615,34,0,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,2,41.5,65,41.3,780,33.8,1,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,3,41.7,1,41.3,615,34,1,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,4,41.7,9,40.6,638,33.4,1,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,5,41.8,31,40.8,644,33.4,0,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,6,41.4,8,40.9,664,34,1,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,7,41.6,24,40.8,664,34,0,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,8,40.9,31,40.6,861,33.7,0,r,s,6.68,8.47,6.36,21.6
192,atlantica,2,37,9,40.3,11,40.8,510,33.5,0,r,s,6.68,8.47,6.36,21.6
