species,dom_fr,max_fr,min_fr,min_fr_TM
mannikin,4306.641,8527.148,4220.508,4165.696
mannikin,4306.641,9043.945,4220.508,2902.415
mannikin,4478.906,9646.875,4220.508,2680.678
mannikin,4306.641,9733.008,4220.508,2944.176
mannikin,4048.242,8354.883,5426.367,5418.537
mannikin,4306.641,9388.477,4220.508,4155.256
mannikin,4306.641,8957.812,4306.641,4165.696
mannikin,4220.508,8527.148,4823.438,4192.481
mannikin,4478.906,8871.68,4306.641,2922.346
mannikin,3962.109,8957.812,3962.109,2925.077
mannikin,4565.039,8699.414,3962.109,3038.139
mannikin,3186.914,9216.211,4048.242,3079.901
mannikin,4392.773,8268.75,3100.781,2683.168
mannikin,4478.906,8527.148,4134.375,2871.094
mannikin,4306.641,8527.148,3445.312,2683.168
mannikin,4306.641,9646.875,4134.375,2790.239
mannikin,4134.375,9474.609,3962.109,3340.909
mannikin,4565.039,8441.016,4134.375,4081.558
mannikin,4306.641,8613.281,3617.578,2704.048
mannikin,4306.641,8613.281,4048.242,2724.929
mannikin,4392.773,8527.148,3445.312,2829.332
mannikin,4306.641,8527.148,3789.844,2690.137
mannikin,4306.641,8527.148,3875.977,2965.057
mannikin,4220.508,8613.281,3273.047,2680.127
mannikin,5081.836,8527.148,4220.508,3037.158
mannikin,4306.641,9130.078,4220.508,3059.02
mannikin,4048.242,8871.68,4048.242,3038.139
mannikin,4048.242,8354.883,4048.242,3038.139
mannikin,4392.773,8268.75,4134.375,3017.259
mannikin,4134.375,9130.078,3617.578,2902.415
mannikin,4392.773,9043.945,4220.508,3027.699
mannikin,4478.906,8182.617,4306.641,4197.017
mannikin,4306.641,8613.281,4220.508,4176.136
mannikin,4478.906,8699.414,4392.773,4259.659
mannikin,4565.039,9560.742,4306.641,3059.02
mannikin,4220.508,9646.875,4220.508,2662.287
mannikin,4478.906,8441.016,4306.641,2944.176
mannikin,4306.641,9388.477,3445.312,3017.259
mannikin,4478.906,8441.016,3273.047,2965.057
mannikin,4392.773,9819.141,4306.641,3027.699
mannikin,4478.906,8182.617,4306.641,4238.778
mannikin,4478.906,8871.68,4220.508,2662.287
mannikin,4478.906,9388.477,3445.312,2683.168
mannikin,4220.508,8354.883,3273.047,2954.616
mannikin,4306.641,8527.148,4134.375,3006.818
mannikin,4565.039,7149.023,4392.773,4290.98
mannikin,4478.906,8010.352,4220.508,4123.935
mannikin,4478.906,8010.352,4392.773,4322.301
mannikin,4651.172,8268.75,3186.914,2871.094
mannikin,4478.906,7751.953,3531.445,4207.457
mannikin,4651.172,6804.492,4478.906,4384.943
mannikin,4565.039,7665.82,4220.508,2975.497
mannikin,4478.906,8182.617,4048.242,4186.577
mannikin,4565.039,8354.883,3186.914,2923.295
mannikin,4392.773,8527.148,3273.047,2683.168
mannikin,4478.906,8182.617,4220.508,4197.017
mannikin,4478.906,9474.609,4392.773,3121.662
mannikin,4478.906,8268.75,4306.641,4217.898
mannikin,4478.906,9302.344,4392.773,2912.855
mannikin,4478.906,7062.891,4392.773,4343.182
mannikin,4478.906,8268.75,3617.578,3142.543
mannikin,4478.906,8268.75,4392.773,4280.54
mannikin,4478.906,7062.891,4392.773,4322.301
mannikin,4565.039,7407.422,4392.773,4332.741
mannikin,4651.172,7062.891,4392.773,4301.42
mannikin,4478.906,7579.688,4134.375,4290.98
mannikin,4478.906,8785.547,4392.773,4259.659
mannikin,4651.172,7407.422,4306.641,4207.457
mannikin,4565.039,8441.016,4392.773,4249.219
mannikin,4392.773,8096.484,4306.641,4155.256
mannikin,4565.039,8096.484,4392.773,4176.136
mannikin,4478.906,8182.617,4306.641,4186.577
mannikin,4478.906,7407.422,4392.773,4311.861
mannikin,4565.039,7149.023,4392.773,4301.42
mannikin,4737.305,7579.688,4392.773,4311.861
mannikin,4565.039,7062.891,4392.773,4301.42
mannikin,4565.039,6804.492,4392.773,4332.741
mannikin,4565.039,7579.688,3100.781,2996.378
mannikin,4565.039,7665.82,4306.641,4249.219
mannikin,4651.172,8354.883,3186.914,2944.176
mannikin,4651.172,9043.945,4306.641,4197.017
mannikin,4478.906,9388.477,4306.641,2724.929
mannikin,4478.906,8010.352,4306.641,2996.378
mannikin,4478.906,8182.617,3186.914,2641.406
mannikin,4306.641,8527.148,4220.508,4123.935
mannikin,4478.906,9043.945,4220.508,4113.494
mannikin,4651.172,8096.484,3445.312,2871.094
mannikin,4478.906,8182.617,4306.641,4207.457
mannikin,4565.039,7235.156,4306.641,2985.937
mannikin,4478.906,7665.82,4392.773,2975.497
mannikin,4478.906,6976.758,4392.773,4301.42
mannikin,4478.906,7751.953,4392.773,4289.195
mannikin,4478.906,7235.156,4392.773,4311.861
mannikin,4565.039,7924.219,4306.641,3038.139
mannikin,4823.438,7321.289,4565.039,4426.705
mannikin,4651.172,8354.883,4478.906,4290.98
mannikin,4651.172,9388.477,4478.906,4228.338
mannikin,4478.906,9819.141,4478.906,3006.818
mannikin,3186.914,8268.75,3100.781,2255.114
mannikin,4823.438,9388.477,3359.18,2965.057
mannikin,4823.438,7924.219,3875.977,2923.295
mannikin,4478.906,7579.688,4306.641,4165.696
mannikin,4478.906,7149.023,4392.773,4301.42
mannikin,4306.641,7579.688,3359.18,2651.847
mannikin,3531.445,8182.617,3445.312,2735.369
mannikin,3962.109,7924.219,3789.844,3393.111
mannikin,4392.773,7838.086,4306.641,4228.338
mannikin,5167.969,7838.086,3359.18,3069.46
mannikin,4478.906,9388.477,3445.312,3017.259
mannikin,4306.641,8871.68,3186.914,2881.534
mannikin,4392.773,9043.945,3273.047,2818.892
mannikin,4392.773,8613.281,3445.312,2881.534
mannikin,4134.375,8354.883,3359.18,2871.094
mannikin,4392.773,8354.883,3359.18,2871.094
mannikin,3273.047,8268.75,3100.781,2954.616
mannikin,3273.047,7924.219,3100.781,2944.176
mannikin,3359.18,7838.086,3014.648,2912.855
mannikin,4220.508,8182.617,3186.914,2651.847
mannikin,4478.906,7579.688,4306.641,4134.375
mannikin,4823.438,8957.812,3875.977,2630.966
mannikin,4306.641,8699.414,4048.242,3936.009
mannikin,4392.773,8354.883,4220.508,4050.852
mannikin,4478.906,8613.281,4306.641,4186.577
mannikin,4651.172,8441.016,3186.914,2798.011
mannikin,4306.641,9216.211,3617.578,2641.406
mannikin,4478.906,7924.219,3273.047,2714.489
mannikin,4478.906,9474.609,3186.914,2662.287
mannikin,4306.641,8010.352,3531.445,3071.093
mannikin,3359.18,7924.219,3100.781,2912.855
mannikin,4565.039,8096.484,3100.781,2578.764
mannikin,4306.641,8527.148,3100.781,2662.287
mannikin,4306.641,7924.219,3014.648,2599.645
mannikin,3273.047,9991.406,3100.781,2756.25
mannikin,4565.039,8096.484,3014.648,2411.719
mannikin,3186.914,8010.352,3100.781,2787.571
mannikin,4048.242,7924.219,3186.914,2735.369
mannikin,4220.508,10249.805,4134.375,2484.801
mannikin,4565.039,9560.742,4392.773,4238.778
mannikin,4478.906,7838.086,4392.773,4259.659
mannikin,4478.906,7665.82,4392.773,4270.099
mannikin,3359.18,7924.219,3186.914,3144.918
mannikin,4478.906,7235.156,4392.773,4301.42
mannikin,4478.906,7321.289,4392.773,4301.42
mannikin,4478.906,7665.82,4306.641,4249.219
mannikin,4478.906,7838.086,4392.773,4280.54
mannikin,4478.906,7321.289,4306.641,4311.861
mannikin,4306.641,9733.008,3875.977,2839.773
mannikin,4392.773,7149.023,4306.641,4217.898
myna,5167.969,7062.891,2583.984,2229.496
myna,2928.516,6632.227,2670.117,2450.969
myna,4392.773,7751.953,2670.117,2214.731
myna,3100.781,7493.555,3100.781,2879.15
myna,3100.781,6718.359,2928.516,2642.912
myna,4565.039,7321.289,2842.383,2377.144
myna,3359.18,7751.953,3186.914,2893.915
myna,7579.688,7579.688,3703.711,3159.683
myna,3531.445,7493.555,2928.516,2569.088
myna,2928.516,7924.219,2842.383,2244.26
myna,6632.227,8096.484,2497.852,2111.377
myna,3186.914,6632.227,2928.516,2923.445
myna,3273.047,7149.023,2756.25,2583.853
myna,5598.633,6890.625,2928.516,2406.674
myna,5598.633,7407.422,2756.25,2406.674
myna,6976.758,7579.688,4220.508,3144.918
myna,5254.102,7321.289,3100.781,2465.734
myna,6373.828,7062.891,3014.648,2790.561
myna,4392.773,7924.219,3703.711,3499.275
myna,3100.781,7062.891,3100.781,2893.915
myna,3100.781,7062.891,3014.648,2731.501
myna,4651.172,7321.289,3531.445,2199.966
myna,3014.648,6890.625,2928.516,2598.617
myna,6632.227,7149.023,2670.117,2495.263
myna,6373.828,7407.422,4220.508,3897.926
myna,3100.781,6890.625,2670.117,1152.3
myna,3014.648,6976.758,2928.516,2613.382
myna,2756.25,7235.156,2670.117,2332.85
myna,5081.836,8010.352,2756.25,2524.793
myna,5598.633,7321.289,2670.117,2214.731
myna,5684.766,7665.82,2756.25,2421.439
myna,3100.781,7149.023,1550.391,2126.142
myna,4306.641,6890.625,3100.781,2967.739
myna,4478.906,6976.758,3014.648,2687.207
myna,4651.172,7751.953,3186.914,1963.728
myna,3617.578,7062.891,2928.516,2303.32
myna,3100.781,7321.289,2842.383,2303.32
myna,3617.578,7321.289,2756.25,2436.204
myna,2928.516,7321.289,2928.516,2775.796
myna,6804.492,7665.82,2928.516,2613.382
myna,3014.648,5598.633,2670.117,2539.558
myna,3014.648,7924.219,2928.516,2583.853
myna,2670.117,7751.953,1808.789,1727.49
myna,2670.117,7321.289,2067.188,2037.552
myna,7665.82,7924.219,2411.719,2199.966
myna,3186.914,8010.352,2756.25,2318.085
myna,3186.914,7924.219,2842.383,2657.677
myna,3100.781,7665.82,3014.648,2923.445
myna,6718.359,7665.82,4306.641,3769.904
myna,5254.102,7665.82,3617.578,2544.42
myna,5340.234,5684.766,3445.312,3282.663
myna,3531.445,7407.422,3186.914,2854.482
myna,6804.492,7321.289,3359.18,2943.071
myna,6890.625,7235.156,2411.719,2145.768
myna,3273.047,7751.953,2583.984,2337.711
myna,2928.516,7838.086,1894.922,1830.844
